replicate,sampled_years,threshold
759,2021|2018|2022|2018|2020|2025|2022|2021|2017,z<-1.5
760,2018|2020|2020|2020|2019|2025|2023|2020|2022,z<-1.5
761,2017|2021|2017|2024|2025|2025|2025|2020|2023,z<-1.5
762,2024|2021|2025|2017|2025|2018|2024|2019|2023,z<-1.5
763,2024|2024|2020|2018|2019|2023|2022|2019|2021,z<-1.5
764,2022|2021|2018|2025|2019|2018|2021|2025|2023,z<-1.5
765,2023|2022|2020|2021|2017|2017|2022|2020|2019,z<-1.5
766,2024|2018|2019|2021|2020|2022|2019|2017|2021,z<-1.5
767,2020|2021|2025|2021|2020|2021|2017|2020|2018,z<-1.5
768,2023|2018|2019|2023|2019|2025|2024|2019|2017,z<-1.5
769,2024|2024|2025|2024|2023|2024|2019|2021|2019,z<-1.5
770,2022|2020|2024|2017|2025|2025|2021|2021|2023,z<-1.5
771,2024|2022|2024|2019|2018|2019|2022|2021|2021,z<-1.5
772,2020|2017|2021|2017|2025|2019|2024|2017|2018,z<-1.5
773,2025|2024|2022|2025|2021|2020|2021|2020|2025,z<-1.5
774,2018|2022|2022|2019|2017|2023|2021|2022|2024,z<-1.5
775,2020|2025|2024|2022|2020|2022|2022|2020|2021,z<-1.5
776,2020|2024|2019|2025|2022|2017|2017|2020|2025,z<-1.5
777,2019|2018|2025|2024|2022|2021|2017|2021|2022,z<-1.5
778,2017|2023|2019|2020|2025|2022|2017|2021|2020,z<-1.5
779,2025|2023|2020|2024|2017|2018|2018|2019|2023,z<-1.5
780,2018|2024|2025|2019|2025|2022|2021|2024|2017,z<-1.5
781,2022|2020|2021|2017|2024|2018|2022|2022|2025,z<-1.5
782,2017|2025|2020|2018|2017|2017|2022|2025|2025,z<-1.5
783,2019|2025|2022|2024|2025|2018|2025|2021|2019,z<-1.5
784,2022|2022|2020|2023|2022|2025|2018|2020|2023,z<-1.5
785,2019|2023|2023|2019|2021|2020|2023|2023|2021,z<-1.5
786,2017|2020|2019|2023|2021|2019|2020|2022|2018,z<-1.5
787,2023|2019|2017|2017|2025|2022|2022|2022|2017,z<-1.5
788,2021|2017|2025|2017|2021|2024|2020|2017|2018,z<-1.5
789,2017|2020|2025|2018|2019|2020|2019|2021|2019,z<-1.5
790,2025|2023|2022|2023|2021|2018|2017|2023|2018,z<-1.5
791,2018|2019|2023|2023|2025|2017|2022|2019|2019,z<-1.5
792,2020|2017|2018|2021|2023|2024|2022|2025|2019,z<-1.5
793,2021|2018|2020|2018|2021|2020|2017|2018|2021,z<-1.5
794,2024|2017|2024|2024|2024|2024|2025|2025|2017,z<-1.5
795,2021|2024|2024|2022|2022|2018|2022|2023|2017,z<-1.5
796,2021|2018|2017|2017|2025|2024|2017|2017|2020,z<-1.5
797,2023|2017|2023|2021|2022|2018|2024|2019|2020,z<-1.5
798,2022|2019|2022|2017|2025|2020|2023|2023|2021,z<-1.5
799,2017|2019|2018|2020|2018|2020|2018|2024|2022,z<-1.5
800,2018|2025|2020|2025|2023|2018|2019|2019|2025,z<-1.5
801,2025|2020|2018|2025|2021|2021|2020|2020|2022,z<-1.5
802,2024|2019|2019|2025|2020|2019|2020|2021|2017,z<-1.5
803,2021|2019|2024|2024|2022|2023|2020|2021|2022,z<-1.5
804,2024|2020|2025|2022|2023|2021|2021|2022|2022,z<-1.5
805,2024|2019|2021|2019|2017|2017|2024|2022|2022,z<-1.5
806,2024|2017|2025|2018|2019|2020|2025|2023|2020,z<-1.5
807,2023|2019|2018|2025|2025|2017|2020|2017|2020,z<-1.5
808,2017|2022|2025|2017|2023|2022|2022|2024|2018,z<-1.5
809,2024|2020|2024|2025|2020|2025|2020|2024|2018,z<-1.5
810,2018|2017|2024|2023|2021|2023|2017|2024|2024,z<-1.5
811,2022|2018|2018|2024|2017|2021|2019|2017|2021,z<-1.5
812,2017|2020|2019|2023|2024|2021|2021|2021|2021,z<-1.5
813,2022|2018|2020|2023|2017|2018|2023|2024|2019,z<-1.5
814,2023|2024|2020|2021|2021|2025|2022|2024|2020,z<-1.5
815,2020|2017|2019|2019|2022|2019|2017|2024|2024,z<-1.5
816,2024|2025|2017|2018|2025|2024|2023|2022|2021,z<-1.5
817,2021|2021|2025|2023|2022|2019|2020|2025|2020,z<-1.5
818,2019|2021|2024|2024|2024|2018|2022|2020|2023,z<-1.5
819,2025|2022|2018|2022|2020|2023|2017|2021|2024,z<-1.5
820,2025|2025|2022|2023|2017|2017|2022|2020|2024,z<-1.5
821,2019|2019|2017|2018|2024|2017|2024|2022|2025,z<-1.5
822,2024|2022|2024|2023|2017|2017|2021|2025|2019,z<-1.5
823,2024|2018|2021|2025|2022|2023|2020|2021|2024,z<-1.5
824,2023|2017|2023|2023|2019|2023|2021|2023|2017,z<-1.5
825,2023|2023|2017|2018|2018|2024|2019|2023|2022,z<-1.5
826,2023|2025|2017|2019|2021|2021|2025|2024|2021,z<-1.5
827,2022|2021|2018|2018|2017|2023|2019|2018|2021,z<-1.5
828,2018|2020|2017|2025|2018|2017|2017|2023|2018,z<-1.5
829,2017|2018|2019|2019|2018|2023|2025|2022|2018,z<-1.5
830,2025|2021|2020|2018|2018|2018|2025|2025|2017,z<-1.5
831,2021|2023|2021|2025|2023|2022|2019|2023|2017,z<-1.5
832,2017|2024|2022|2017|2017|2023|2022|2018|2023,z<-1.5
833,2018|2024|2023|2020|2019|2024|2025|2023|2020,z<-1.5
834,2017|2024|2020|2019|2019|2018|2025|2018|2022,z<-1.5
835,2020|2019|2020|2023|2019|2023|2021|2022|2021,z<-1.5
836,2023|2020|2018|2023|2017|2018|2024|2021|2018,z<-1.5
837,2024|2023|2023|2021|2018|2021|2024|2019|2023,z<-1.5
838,2017|2021|2022|2024|2018|2019|2017|2024|2023,z<-1.5
839,2021|2020|2025|2024|2019|2020|2024|2020|2019,z<-1.5
840,2017|2018|2018|2021|2023|2022|2025|2020|2025,z<-1.5
841,2018|2017|2019|2025|2019|2020|2017|2018|2024,z<-1.5
842,2017|2019|2025|2019|2019|2019|2023|2019|2017,z<-1.5
843,2018|2022|2021|2021|2020|2023|2019|2018|2017,z<-1.5
844,2022|2022|2025|2024|2023|2021|2018|2020|2019,z<-1.5
845,2019|2018|2023|2020|2021|2017|2019|2021|2017,z<-1.5
846,2019|2020|2019|2017|2017|2017|2017|2023|2022,z<-1.5
847,2022|2020|2023|2020|2020|2017|2024|2020|2020,z<-1.5
848,2019|2024|2019|2023|2018|2025|2019|2025|2020,z<-1.5
849,2017|2019|2019|2025|2017|2019|2019|2017|2024,z<-1.5
850,2022|2017|2018|2025|2023|2019|2023|2022|2020,z<-1.5
851,2025|2022|2024|2021|2017|2025|2018|2019|2024,z<-1.5
852,2025|2017|2025|2021|2020|2021|2019|2025|2021,z<-1.5
853,2022|2017|2018|2022|2019|2024|2017|2025|2018,z<-1.5
854,2021|2023|2017|2025|2025|2025|2021|2021|2022,z<-1.5
855,2017|2023|2024|2019|2017|2019|2019|2024|2025,z<-1.5
856,2025|2024|2017|2020|2022|2021|2018|2017|2022,z<-1.5
857,2021|2020|2023|2017|2018|2023|2017|2019|2020,z<-1.5
858,2018|2021|2021|2021|2019|2020|2019|2023|2019,z<-1.5
859,2019|2018|2021|2017|2023|2020|2019|2021|2021,z<-1.5
860,2023|2018|2024|2020|2021|2021|2021|2025|2018,z<-1.5
861,2022|2025|2018|2020|2020|2017|2021|2022|2022,z<-1.5
862,2017|2020|2025|2017|2017|2025|2023|2025|2022,z<-1.5
863,2019|2022|2019|2025|2020|2023|2025|2019|2018,z<-1.5
864,2021|2023|2020|2025|2022|2022|2024|2021|2018,z<-1.5
865,2023|2018|2020|2017|2018|2020|2023|2021|2023,z<-1.5
866,2020|2020|2025|2022|2024|2023|2024|2019|2023,z<-1.5
867,2017|2017|2018|2021|2019|2024|2018|2025|2018,z<-1.5
868,2021|2017|2018|2018|2018|2019|2017|2025|2024,z<-1.5
869,2021|2020|2022|2017|2020|2023|2019|2020|2017,z<-1.5
870,2025|2021|2021|2023|2021|2020|2022|2024|2018,z<-1.5
871,2023|2017|2020|2021|2018|2018|2024|2024|2023,z<-1.5
872,2018|2023|2025|2018|2018|2024|2024|2020|2025,z<-1.5
873,2023|2024|2021|2017|2019|2017|2021|2018|2019,z<-1.5
874,2018|2023|2022|2019|2018|2019|2024|2020|2023,z<-1.5
875,2017|2024|2017|2022|2024|2020|2018|2021|2024,z<-1.5
876,2021|2020|2021|2022|2024|2021|2025|2021|2017,z<-1.5
877,2019|2020|2021|2022|2021|2018|2025|2020|2025,z<-1.5
878,2017|2024|2020|2023|2020|2025|2025|2022|2022,z<-1.5
879,2020|2025|2023|2022|2024|2017|2025|2021|2024,z<-1.5
880,2017|2018|2023|2020|2023|2017|2019|2022|2018,z<-1.5
881,2025|2019|2024|2021|2020|2020|2018|2024|2022,z<-1.5
882,2021|2022|2024|2018|2019|2024|2018|2022|2021,z<-1.5
883,2020|2025|2018|2019|2019|2019|2024|2025|2019,z<-1.5
884,2020|2019|2024|2020|2023|2023|2023|2017|2021,z<-1.5
885,2023|2022|2025|2024|2023|2021|2017|2025|2023,z<-1.5
886,2024|2023|2022|2020|2020|2025|2021|2024|2025,z<-1.5
887,2024|2018|2022|2023|2021|2024|2025|2018|2025,z<-1.5
888,2017|2018|2017|2019|2024|2025|2020|2021|2021,z<-1.5
889,2017|2017|2025|2025|2017|2019|2019|2019|2020,z<-1.5
890,2022|2018|2025|2023|2024|2023|2022|2020|2024,z<-1.5
891,2021|2025|2019|2025|2021|2021|2022|2018|2021,z<-1.5
892,2018|2022|2017|2020|2025|2019|2024|2019|2019,z<-1.5
893,2017|2017|2021|2020|2018|2017|2022|2019|2023,z<-1.5
894,2025|2025|2020|2022|2021|2019|2018|2021|2022,z<-1.5
895,2020|2025|2020|2017|2021|2022|2025|2022|2019,z<-1.5
896,2019|2025|2024|2022|2022|2017|2019|2021|2023,z<-1.5
897,2019|2021|2024|2023|2023|2023|2023|2021|2018,z<-1.5
898,2021|2018|2018|2020|2020|2017|2019|2023|2018,z<-1.5
899,2021|2021|2025|2017|2023|2024|2020|2021|2022,z<-1.5
900,2025|2023|2025|2018|2017|2021|2017|2019|2025,z<-1.5
901,2023|2019|2020|2023|2025|2021|2021|2020|2017,z<-1.5
902,2020|2020|2019|2017|2019|2018|2020|2018|2023,z<-1.5
903,2025|2024|2017|2018|2022|2020|2024|2024|2017,z<-1.5
904,2021|2024|2018|2023|2025|2025|2020|2022|2021,z<-1.5
905,2024|2023|2017|2023|2025|2018|2017|2024|2022,z<-1.5
906,2023|2018|2023|2023|2018|2021|2019|2017|2017,z<-1.5
907,2019|2017|2025|2022|2023|2025|2019|2017|2024,z<-1.5
908,2023|2019|2017|2017|2025|2017|2023|2023|2018,z<-1.5
909,2025|2020|2024|2022|2023|2024|2017|2018|2017,z<-1.5
910,2020|2024|2018|2019|2024|2025|2019|2024|2023,z<-1.5
911,2018|2018|2018|2017|2024|2022|2023|2023|2024,z<-1.5
912,2023|2020|2020|2023|2023|2025|2020|2025|2019,z<-1.5
913,2017|2019|2019|2017|2018|2017|2021|2021|2017,z<-1.5
914,2018|2024|2023|2020|2022|2025|2018|2021|2024,z<-1.5
915,2025|2018|2018|2018|2022|2022|2017|2021|2025,z<-1.5
916,2025|2025|2025|2024|2022|2019|2017|2018|2024,z<-1.5
917,2018|2017|2024|2022|2025|2023|2022|2024|2019,z<-1.5
918,2018|2022|2022|2022|2020|2017|2018|2024|2021,z<-1.5
919,2020|2024|2018|2022|2019|2025|2025|2020|2021,z<-1.5
920,2021|2018|2024|2023|2025|2023|2021|2020|2024,z<-1.5
921,2019|2018|2020|2024|2025|2024|2022|2021|2020,z<-1.5
922,2019|2021|2021|2025|2022|2025|2023|2022|2020,z<-1.5
923,2025|2021|2022|2018|2019|2025|2021|2018|2017,z<-1.5
924,2020|2019|2022|2021|2025|2023|2025|2017|2023,z<-1.5
925,2022|2025|2024|2019|2025|2023|2025|2023|2023,z<-1.5
926,2018|2023|2019|2021|2021|2019|2022|2019|2020,z<-1.5
927,2018|2017|2019|2020|2019|2025|2020|2025|2019,z<-1.5
928,2021|2019|2023|2023|2025|2021|2023|2019|2023,z<-1.5
929,2019|2021|2018|2018|2018|2024|2025|2025|2020,z<-1.5
930,2021|2018|2017|2020|2019|2024|2020|2025|2023,z<-1.5
931,2022|2024|2019|2023|2018|2022|2020|2018|2024,z<-1.5
932,2025|2021|2024|2024|2019|2019|2020|2020|2018,z<-1.5
933,2019|2017|2018|2020|2025|2024|2020|2022|2021,z<-1.5
934,2017|2021|2017|2022|2019|2024|2025|2021|2025,z<-1.5
935,2025|2022|2022|2019|2021|2025|2025|2017|2018,z<-1.5
936,2017|2024|2017|2021|2023|2018|2024|2022|2017,z<-1.5
937,2018|2019|2018|2020|2019|2024|2024|2024|2023,z<-1.5
938,2023|2024|2023|2022|2017|2023|2025|2020|2021,z<-1.5
939,2017|2025|2021|2022|2023|2023|2017|2021|2021,z<-1.5
940,2025|2022|2021|2017|2024|2021|2018|2019|2024,z<-1.5
941,2023|2024|2019|2017|2018|2023|2025|2021|2024,z<-1.5
942,2025|2020|2020|2017|2018|2018|2023|2017|2023,z<-1.5
943,2020|2024|2019|2020|2023|2024|2023|2022|2024,z<-1.5
944,2020|2024|2018|2019|2023|2021|2020|2024|2019,z<-1.5
945,2020|2017|2024|2025|2018|2021|2021|2020|2020,z<-1.5
946,2019|2023|2023|2025|2019|2019|2022|2023|2023,z<-1.5
947,2021|2024|2018|2020|2017|2022|2024|2020|2021,z<-1.5
948,2017|2018|2019|2021|2018|2022|2019|2025|2024,z<-1.5
949,2017|2023|2025|2019|2019|2017|2019|2020|2018,z<-1.5
950,2021|2018|2017|2020|2019|2017|2020|2019|2019,z<-1.5
951,2021|2025|2018|2019|2017|2017|2023|2019|2023,z<-1.5
952,2025|2022|2019|2020|2020|2021|2018|2022|2019,z<-1.5
953,2025|2024|2019|2020|2021|2017|2019|2021|2020,z<-1.5
954,2025|2021|2018|2024|2025|2024|2018|2021|2023,z<-1.5
955,2025|2021|2022|2019|2024|2024|2020|2025|2021,z<-1.5
956,2021|2021|2023|2024|2017|2023|2023|2022|2017,z<-1.5
957,2023|2021|2018|2022|2019|2024|2025|2025|2022,z<-1.5
958,2024|2019|2020|2023|2022|2022|2020|2025|2020,z<-1.5
959,2019|2022|2017|2021|2018|2022|2020|2020|2024,z<-1.5
960,2025|2018|2023|2024|2022|2017|2017|2019|2020,z<-1.5
961,2025|2019|2020|2018|2023|2017|2017|2021|2018,z<-1.5
962,2018|2024|2019|2024|2020|2020|2021|2022|2023,z<-1.5
963,2024|2021|2021|2017|2023|2024|2017|2020|2018,z<-1.5
964,2018|2018|2025|2020|2019|2025|2022|2020|2018,z<-1.5
965,2022|2020|2019|2017|2018|2025|2020|2023|2021,z<-1.5
966,2019|2018|2019|2019|2021|2024|2017|2018|2022,z<-1.5
967,2021|2024|2017|2017|2024|2024|2017|2020|2022,z<-1.5
968,2020|2019|2019|2025|2017|2017|2025|2019|2025,z<-1.5
969,2023|2019|2022|2020|2021|2017|2023|2020|2023,z<-1.5
970,2017|2019|2021|2023|2025|2017|2017|2017|2020,z<-1.5
971,2017|2025|2020|2024|2020|2021|2018|2021|2017,z<-1.5
972,2022|2019|2021|2019|2025|2020|2025|2021|2025,z<-1.5
973,2023|2025|2017|2021|2017|2024|2022|2017|2023,z<-1.5
974,2020|2022|2017|2023|2022|2018|2022|2022|2019,z<-1.5
975,2019|2020|2021|2018|2019|2023|2019|2021|2017,z<-1.5
976,2024|2022|2020|2020|2019|2022|2022|2024|2018,z<-1.5
977,2024|2022|2018|2020|2025|2019|2021|2023|2017,z<-1.5
978,2017|2017|2019|2017|2020|2017|2022|2019|2017,z<-1.5
979,2020|2025|2017|2025|2020|2024|2022|2024|2023,z<-1.5
980,2021|2024|2021|2017|2025|2017|2023|2019|2018,z<-1.5
981,2023|2024|2024|2022|2020|2023|2023|2019|2022,z<-1.5
982,2018|2019|2025|2025|2018|2025|2019|2017|2017,z<-1.5
983,2018|2017|2019|2025|2022|2025|2024|2023|2021,z<-1.5
984,2019|2021|2017|2023|2022|2019|2018|2024|2017,z<-1.5
985,2021|2020|2017|2024|2024|2021|2025|2022|2023,z<-1.5
986,2019|2024|2019|2023|2023|2025|2022|2019|2019,z<-1.5
987,2017|2020|2020|2025|2019|2019|2025|2022|2020,z<-1.5
988,2021|2020|2018|2017|2018|2022|2023|2021|2019,z<-1.5
989,2017|2017|2017|2025|2025|2019|2019|2023|2018,z<-1.5
990,2023|2019|2022|2022|2018|2017|2022|2019|2018,z<-1.5
991,2022|2019|2018|2020|2023|2021|2021|2022|2017,z<-1.5
992,2021|2022|2022|2017|2025|2021|2019|2017|2018,z<-1.5
993,2017|2022|2017|2019|2022|2019|2018|2025|2021,z<-1.5
994,2019|2020|2018|2024|2025|2022|2020|2024|2024,z<-1.5
995,2018|2019|2022|2019|2021|2022|2018|2019|2019,z<-1.5
996,2024|2019|2025|2019|2024|2017|2025|2025|2018,z<-1.5
997,2019|2017|2022|2017|2020|2019|2023|2021|2022,z<-1.5
998,2025|2019|2025|2019|2020|2020|2020|2021|2024,z<-1.5
999,2021|2021|2024|2023|2025|2020|2023|2025|2017,z<-1.5
1000,2022|2017|2023|2023|2021|2019|2019|2021|2023,z<-1.5
1001,2020|2024|2020|2024|2025|2023|2021|2024|2020,z<-1.5
1002,2021|2024|2018|2024|2019|2025|2021|2022|2023,z<-1.5
1003,2018|2022|2023|2018|2017|2024|2019|2022|2025,z<-1.5
1004,2020|2020|2021|2018|2020|2024|2025|2021|2022,z<-1.5
1005,2019|2017|2024|2025|2025|2024|2020|2019|2024,z<-1.5
1006,2017|2017|2024|2022|2019|2023|2023|2020|2025,z<-1.5
1007,2022|2020|2021|2025|2020|2018|2022|2024|2019,z<-1.5
1008,2023|2017|2021|2021|2018|2020|2019|2023|2018,z<-1.5
1009,2020|2018|2017|2017|2021|2023|2022|2022|2018,z<-1.5
1010,2025|2018|2019|2018|2022|2025|2018|2025|2024,z<-1.5
1011,2021|2025|2024|2021|2021|2020|2018|2019|2023,z<-1.5
1012,2023|2018|2018|2020|2017|2025|2019|2022|2020,z<-1.5
1013,2025|2019|2018|2018|2025|2024|2025|2023|2018,z<-1.5
1014,2021|2021|2021|2025|2019|2020|2022|2017|2017,z<-1.5
1015,2024|2025|2021|2018|2022|2017|2021|2017|2020,z<-1.5
1016,2025|2020|2019|2020|2022|2018|2019|2020|2018,z<-1.5
1017,2023|2023|2022|2017|2023|2017|2025|2018|2019,z<-1.5
1018,2021|2020|2020|2019|2017|2017|2017|2021|2024,z<-1.5
1019,2020|2023|2019|2019|2022|2023|2019|2025|2017,z<-1.5
1020,2017|2020|2023|2024|2021|2020|2025|2017|2025,z<-1.5
1021,2022|2022|2022|2022|2023|2023|2019|2025|2022,z<-1.5
1022,2021|2025|2020|2017|2024|2018|2019|2020|2018,z<-1.5
1023,2025|2025|2019|2019|2020|2022|2021|2021|2020,z<-1.5
1024,2023|2024|2021|2025|2017|2022|2021|2025|2024,z<-1.5
1025,2019|2020|2020|2025|2021|2022|2017|2022|2019,z<-1.5
1026,2023|2025|2021|2023|2020|2021|2024|2024|2019,z<-1.5
1027,2021|2025|2019|2018|2017|2017|2018|2017|2024,z<-1.5
1028,2025|2022|2024|2022|2023|2017|2024|2021|2019,z<-1.5
1029,2020|2018|2022|2025|2020|2018|2023|2023|2017,z<-1.5
1030,2017|2019|2022|2024|2025|2018|2025|2019|2021,z<-1.5
1031,2019|2019|2025|2021|2019|2024|2017|2021|2020,z<-1.5
1032,2021|2025|2022|2020|2019|2019|2022|2025|2021,z<-1.5
1033,2020|2025|2018|2025|2023|2024|2025|2018|2022,z<-1.5
1034,2024|2024|2023|2020|2019|2017|2025|2021|2022,z<-1.5
1035,2023|2021|2019|2018|2021|2024|2019|2019|2019,z<-1.5
1036,2023|2021|2022|2017|2025|2023|2024|2024|2018,z<-1.5
1037,2019|2023|2025|2024|2025|2022|2021|2017|2024,z<-1.5
1038,2024|2021|2020|2017|2021|2024|2025|2018|2021,z<-1.5
1039,2022|2020|2023|2017|2019|2018|2022|2017|2021,z<-1.5
1040,2024|2019|2020|2023|2017|2023|2023|2022|2022,z<-1.5
1041,2019|2023|2018|2022|2019|2025|2019|2021|2023,z<-1.5
1042,2020|2024|2018|2022|2020|2021|2017|2019|2018,z<-1.5
1043,2021|2025|2021|2025|2020|2017|2025|2021|2022,z<-1.5
1044,2022|2023|2018|2020|2021|2025|2018|2025|2020,z<-1.5
1045,2022|2022|2019|2019|2021|2024|2018|2022|2021,z<-1.5
1046,2024|2023|2023|2020|2024|2025|2019|2025|2017,z<-1.5
1047,2022|2020|2019|2020|2019|2017|2019|2019|2020,z<-1.5
1048,2022|2018|2017|2018|2018|2021|2018|2023|2023,z<-1.5
1049,2019|2022|2024|2020|2021|2024|2022|2021|2018,z<-1.5
1050,2022|2019|2020|2019|2024|2020|2018|2025|2019,z<-1.5
1051,2023|2021|2017|2017|2021|2022|2024|2018|2021,z<-1.5
1052,2021|2022|2023|2021|2019|2017|2025|2023|2018,z<-1.5
1053,2022|2025|2018|2019|2025|2021|2018|2020|2022,z<-1.5
1054,2025|2024|2017|2022|2018|2021|2018|2021|2024,z<-1.5
1055,2019|2020|2017|2022|2025|2022|2022|2020|2024,z<-1.5
1056,2021|2024|2022|2017|2021|2024|2024|2025|2019,z<-1.5
1057,2024|2017|2025|2022|2020|2017|2017|2021|2022,z<-1.5
1058,2025|2022|2019|2017|2022|2018|2018|2022|2024,z<-1.5
1059,2020|2022|2017|2025|2017|2025|2021|2024|2022,z<-1.5
1060,2019|2019|2017|2024|2019|2022|2019|2020|2018,z<-1.5
1061,2024|2021|2019|2018|2018|2019|2020|2025|2023,z<-1.5
1062,2022|2025|2020|2023|2020|2020|2022|2020|2023,z<-1.5
1063,2024|2021|2022|2022|2024|2019|2018|2024|2017,z<-1.5
1064,2022|2020|2023|2020|2025|2019|2019|2021|2022,z<-1.5
1065,2024|2019|2019|2023|2017|2018|2021|2021|2018,z<-1.5
1066,2018|2022|2020|2017|2023|2019|2021|2023|2019,z<-1.5
1067,2017|2023|2025|2020|2019|2020|2025|2022|2020,z<-1.5
1068,2024|2019|2017|2024|2019|2020|2024|2024|2017,z<-1.5
1069,2018|2018|2024|2021|2019|2018|2025|2018|2025,z<-1.5
1070,2024|2020|2025|2020|2018|2020|2021|2023|2019,z<-1.5
1071,2025|2022|2023|2019|2021|2020|2025|2017|2020,z<-1.5
1072,2024|2018|2021|2024|2025|2022|2017|2025|2018,z<-1.5
1073,2020|2019|2019|2024|2025|2024|2022|2018|2019,z<-1.5
1074,2022|2020|2024|2023|2024|2022|2021|2025|2024,z<-1.5
1075,2019|2018|2019|2017|2024|2021|2024|2025|2025,z<-1.5
1076,2021|2021|2020|2017|2021|2019|2023|2024|2021,z<-1.5
1077,2020|2022|2018|2023|2024|2022|2022|2021|2019,z<-1.5
1078,2020|2020|2025|2024|2020|2018|2024|2021|2018,z<-1.5
1079,2025|2017|2019|2024|2021|2019|2020|2025|2017,z<-1.5
1080,2024|2018|2022|2018|2019|2020|2017|2024|2022,z<-1.5
1081,2017|2017|2024|2021|2024|2021|2019|2017|2017,z<-1.5
1082,2017|2018|2017|2018|2025|2023|2022|2018|2021,z<-1.5
1083,2017|2018|2022|2025|2017|2024|2025|2020|2023,z<-1.5
1084,2017|2020|2017|2022|2024|2024|2022|2018|2017,z<-1.5
1085,2019|2019|2018|2021|2020|2025|2021|2023|2018,z<-1.5
1086,2024|2022|2019|2023|2022|2021|2019|2017|2024,z<-1.5
1087,2025|2018|2018|2022|2019|2024|2019|2018|2018,z<-1.5
1088,2018|2023|2019|2019|2018|2019|2023|2018|2022,z<-1.5
1089,2025|2020|2018|2019|2020|2022|2019|2025|2024,z<-1.5
1090,2018|2017|2017|2017|2025|2022|2018|2019|2017,z<-1.5
1091,2021|2024|2019|2017|2023|2017|2024|2025|2019,z<-1.5
1092,2025|2023|2021|2022|2025|2017|2018|2017|2023,z<-1.5
1093,2024|2020|2023|2018|2025|2024|2023|2019|2018,z<-1.5
1094,2023|2025|2022|2019|2024|2019|2018|2018|2019,z<-1.5
1095,2023|2021|2017|2018|2025|2018|2024|2017|2021,z<-1.5
1096,2017|2022|2022|2018|2018|2022|2022|2018|2018,z<-1.5
1097,2020|2024|2022|2022|2017|2023|2020|2018|2024,z<-1.5
1098,2021|2018|2020|2025|2025|2018|2019|2024|2019,z<-1.5
1099,2017|2019|2021|2023|2025|2020|2019|2021|2017,z<-1.5
1100,2025|2021|2018|2017|2022|2021|2025|2019|2018,z<-1.5
1101,2022|2021|2023|2023|2017|2023|2021|2024|2025,z<-1.5
1102,2023|2023|2020|2024|2021|2022|2025|2025|2025,z<-1.5
1103,2024|2018|2025|2018|2019|2019|2023|2023|2025,z<-1.5
1104,2018|2019|2025|2018|2018|2017|2025|2017|2024,z<-1.5
1105,2017|2025|2019|2018|2023|2024|2018|2018|2020,z<-1.5
1106,2023|2024|2023|2024|2018|2023|2017|2017|2022,z<-1.5
1107,2024|2022|2017|2020|2018|2018|2025|2019|2019,z<-1.5
1108,2019|2019|2018|2023|2020|2023|2022|2023|2020,z<-1.5
1109,2022|2025|2018|2024|2025|2021|2021|2021|2017,z<-1.5
1110,2022|2019|2018|2018|2020|2022|2020|2024|2025,z<-1.5
1111,2023|2019|2024|2018|2020|2019|2017|2020|2018,z<-1.5
1112,2017|2017|2017|2024|2022|2021|2020|2020|2022,z<-1.5
1113,2022|2018|2022|2021|2017|2024|2025|2020|2019,z<-1.5
1114,2018|2024|2021|2020|2019|2024|2020|2018|2020,z<-1.5
1115,2023|2020|2025|2019|2017|2019|2025|2017|2024,z<-1.5
1116,2024|2021|2019|2022|2021|2020|2018|2020|2022,z<-1.5
1117,2021|2021|2019|2019|2023|2020|2023|2018|2017,z<-1.5
1118,2024|2017|2024|2023|2021|2025|2022|2020|2019,z<-1.5
1119,2023|2024|2025|2017|2019|2017|2020|2025|2022,z<-1.5
1120,2023|2018|2017|2017|2021|2023|2018|2023|2024,z<-1.5
1121,2024|2020|2020|2018|2020|2018|2018|2017|2022,z<-1.5
1122,2018|2020|2018|2021|2018|2022|2021|2021|2018,z<-1.5
1123,2019|2023|2019|2021|2022|2020|2024|2023|2021,z<-1.5
1124,2022|2019|2025|2018|2023|2018|2021|2023|2019,z<-1.5
1125,2020|2018|2017|2025|2021|2021|2019|2018|2022,z<-1.5
1126,2025|2022|2019|2024|2021|2025|2021|2017|2018,z<-1.5
1127,2021|2025|2019|2025|2025|2021|2018|2019|2021,z<-1.5
1128,2021|2025|2024|2022|2019|2024|2025|2025|2024,z<-1.5
1129,2018|2018|2019|2020|2022|2020|2024|2021|2023,z<-1.5
1130,2020|2017|2021|2017|2023|2019|2022|2018|2022,z<-1.5
1131,2019|2024|2021|2023|2020|2019|2025|2018|2018,z<-1.5
1132,2021|2022|2022|2017|2017|2018|2018|2017|2019,z<-1.5
1133,2019|2024|2020|2024|2023|2025|2017|2020|2024,z<-1.5
1134,2017|2023|2025|2017|2018|2019|2025|2021|2020,z<-1.5
1135,2022|2025|2018|2018|2022|2018|2023|2017|2018,z<-1.5
1136,2024|2018|2023|2025|2020|2018|2024|2021|2019,z<-1.5
1137,2021|2022|2023|2017|2021|2017|2021|2019|2021,z<-1.5
1138,2025|2025|2022|2019|2025|2022|2018|2023|2018,z<-1.5
1139,2025|2024|2018|2025|2023|2022|2019|2025|2018,z<-1.5
1140,2023|2020|2024|2018|2020|2021|2021|2023|2020,z<-1.5
1141,2022|2018|2017|2022|2017|2024|2018|2024|2018,z<-1.5
1142,2017|2020|2024|2017|2018|2018|2017|2018|2021,z<-1.5
